location_name,location_id,sex_id,age_group_id,year_start,year_end,sim_cause,proportion
Alabama,523,1,2,1990,2022,ihd,0.0
Alabama,523,1,3,1990,2022,ihd,0.0
Alabama,523,1,4,1990,2022,ihd,0.0
Alabama,523,1,5,1990,2022,ihd,0.0
Alabama,523,1,6,1990,2022,ihd,0.0
Alabama,523,1,7,1990,2022,ihd,0.0
Alabama,523,1,8,1990,2022,ihd,0.051068604
Alabama,523,1,9,1990,2022,ihd,0.079799605
Alabama,523,1,10,1990,2022,ihd,0.128079553
Alabama,523,1,11,1990,2022,ihd,0.182575517
Alabama,523,1,12,1990,2022,ihd,0.24955656
Alabama,523,1,13,1990,2022,ihd,0.261948221
Alabama,523,1,14,1990,2022,ihd,0.365670402
Alabama,523,1,15,1990,2022,ihd,0.445834969
Alabama,523,1,16,1990,2022,ihd,0.495860737
Alabama,523,1,17,1990,2022,ihd,0.555603621
Alabama,523,1,18,1990,2022,ihd,0.561015599
Alabama,523,1,19,1990,2022,ihd,0.555235919
Alabama,523,1,20,1990,2022,ihd,0.565716793
Alabama,523,1,30,1990,2022,ihd,0.579699149
Alabama,523,1,31,1990,2022,ihd,0.586960134
Alabama,523,1,32,1990,2022,ihd,0.601060584
Alabama,523,1,34,1990,2022,ihd,0.0
Alabama,523,1,235,1990,2022,ihd,0.61252641
Alabama,523,1,238,1990,2022,ihd,0.0
Alabama,523,1,388,1990,2022,ihd,0.0
Alabama,523,2,2,1990,2022,ihd,0.0
Alabama,523,2,3,1990,2022,ihd,0.0
Alabama,523,2,4,1990,2022,ihd,0.0
Alabama,523,2,5,1990,2022,ihd,0.0
Alabama,523,2,6,1990,2022,ihd,0.0
Alabama,523,2,7,1990,2022,ihd,0.0
Alabama,523,2,8,1990,2022,ihd,0.041182923
Alabama,523,2,9,1990,2022,ihd,0.055622699
Alabama,523,2,10,1990,2022,ihd,0.087135886
Alabama,523,2,11,1990,2022,ihd,0.125157611
Alabama,523,2,12,1990,2022,ihd,0.185075613
Alabama,523,2,13,1990,2022,ihd,0.214319655
Alabama,523,2,14,1990,2022,ihd,0.276189712
Alabama,523,2,15,1990,2022,ihd,0.354490953
Alabama,523,2,16,1990,2022,ihd,0.408601137
Alabama,523,2,17,1990,2022,ihd,0.463610488
Alabama,523,2,18,1990,2022,ihd,0.466091185
Alabama,523,2,19,1990,2022,ihd,0.468450911
Alabama,523,2,20,1990,2022,ihd,0.495707281
Alabama,523,2,30,1990,2022,ihd,0.51900239
Alabama,523,2,31,1990,2022,ihd,0.539034841
Alabama,523,2,32,1990,2022,ihd,0.561426115
Alabama,523,2,34,1990,2022,ihd,0.0
Alabama,523,2,235,1990,2022,ihd,0.561806255
Alabama,523,2,238,1990,2022,ihd,0.0
Alabama,523,2,388,1990,2022,ihd,0.0
Alaska,524,1,2,1990,2022,ihd,0.0
Alaska,524,1,3,1990,2022,ihd,0.0
Alaska,524,1,4,1990,2022,ihd,0.0
Alaska,524,1,5,1990,2022,ihd,0.0
Alaska,524,1,6,1990,2022,ihd,0.0
Alaska,524,1,7,1990,2022,ihd,0.0
Alaska,524,1,8,1990,2022,ihd,0.05268593
Alaska,524,1,9,1990,2022,ihd,0.07679499
Alaska,524,1,10,1990,2022,ihd,0.110389339
Alaska,524,1,11,1990,2022,ihd,0.149147432
Alaska,524,1,12,1990,2022,ihd,0.21289031
Alaska,524,1,13,1990,2022,ihd,0.245686648
Alaska,524,1,14,1990,2022,ihd,0.333106506
Alaska,524,1,15,1990,2022,ihd,0.435073464
Alaska,524,1,16,1990,2022,ihd,0.506979605
Alaska,524,1,17,1990,2022,ihd,0.583185045
Alaska,524,1,18,1990,2022,ihd,0.580647263
Alaska,524,1,19,1990,2022,ihd,0.590004621
Alaska,524,1,20,1990,2022,ihd,0.570750264
Alaska,524,1,30,1990,2022,ihd,0.572338945
Alaska,524,1,31,1990,2022,ihd,0.598260602
Alaska,524,1,32,1990,2022,ihd,0.581745258
Alaska,524,1,34,1990,2022,ihd,0.0
Alaska,524,1,235,1990,2022,ihd,0.58071917
Alaska,524,1,238,1990,2022,ihd,0.0
Alaska,524,1,388,1990,2022,ihd,0.0
Alaska,524,2,2,1990,2022,ihd,0.0
Alaska,524,2,3,1990,2022,ihd,0.0
Alaska,524,2,4,1990,2022,ihd,0.0
Alaska,524,2,5,1990,2022,ihd,0.0
Alaska,524,2,6,1990,2022,ihd,0.0
Alaska,524,2,7,1990,2022,ihd,0.0
Alaska,524,2,8,1990,2022,ihd,0.03375015
Alaska,524,2,9,1990,2022,ihd,0.044475779
Alaska,524,2,10,1990,2022,ihd,0.065956816
Alaska,524,2,11,1990,2022,ihd,0.092255025
Alaska,524,2,12,1990,2022,ihd,0.127847069
Alaska,524,2,13,1990,2022,ihd,0.132010183
Alaska,524,2,14,1990,2022,ihd,0.197183454
Alaska,524,2,15,1990,2022,ihd,0.276835283
Alaska,524,2,16,1990,2022,ihd,0.350325588
Alaska,524,2,17,1990,2022,ihd,0.429629378
Alaska,524,2,18,1990,2022,ihd,0.423010209
Alaska,524,2,19,1990,2022,ihd,0.428246424
Alaska,524,2,20,1990,2022,ihd,0.458779495
Alaska,524,2,30,1990,2022,ihd,0.473115577
Alaska,524,2,31,1990,2022,ihd,0.495792598
Alaska,524,2,32,1990,2022,ihd,0.513356223
Alaska,524,2,34,1990,2022,ihd,0.0
Alaska,524,2,235,1990,2022,ihd,0.513810204
Alaska,524,2,238,1990,2022,ihd,0.0
Alaska,524,2,388,1990,2022,ihd,0.0
Arizona,525,1,2,1990,2022,ihd,0.0
Arizona,525,1,3,1990,2022,ihd,0.0
Arizona,525,1,4,1990,2022,ihd,0.0
Arizona,525,1,5,1990,2022,ihd,0.0
Arizona,525,1,6,1990,2022,ihd,0.0
Arizona,525,1,7,1990,2022,ihd,0.0
Arizona,525,1,8,1990,2022,ihd,0.059811662
Arizona,525,1,9,1990,2022,ihd,0.087410912
Arizona,525,1,10,1990,2022,ihd,0.110253579
Arizona,525,1,11,1990,2022,ihd,0.163717199
Arizona,525,1,12,1990,2022,ihd,0.223587054
Arizona,525,1,13,1990,2022,ihd,0.218351298
Arizona,525,1,14,1990,2022,ihd,0.32059862
Arizona,525,1,15,1990,2022,ihd,0.412917627
Arizona,525,1,16,1990,2022,ihd,0.502308056
Arizona,525,1,17,1990,2022,ihd,0.559897777
Arizona,525,1,18,1990,2022,ihd,0.582487146
Arizona,525,1,19,1990,2022,ihd,0.575283623
Arizona,525,1,20,1990,2022,ihd,0.596481442
Arizona,525,1,30,1990,2022,ihd,0.604737621
Arizona,525,1,31,1990,2022,ihd,0.610331495
Arizona,525,1,32,1990,2022,ihd,0.60448691
Arizona,525,1,34,1990,2022,ihd,0.0
Arizona,525,1,235,1990,2022,ihd,0.601817981
