,state,year,sex,age_group,percent_on_BP_meds_among_high_BP_group,percent_on_chol_meds_among_high_chol_group,percent_high_BP,percent_high_chol,sbp_average,ldl_average,sbp_rr,ldl_rr,both_rr
0,Alabama,2021,female,25-29,0.286823291031453,0.0267592628193156,0.0906763022300142,0.0610499200165514,0.295173444851531,0.10245770444400733,0.9717110262941232,0.33,0.6508555131470616
1,Alaska,2021,female,25-29,0.0100394518543868,0.0389500104506745,0.036911472728541,0.104137158623538,0.295173444851531,0.10245770444400733,0.33,0.38015696976658797,0.35507848488329397
2,Arizona,2021,female,25-29,0.250222080728992,0.0148442786494849,0.0572989953714976,0.208706373457428,0.295173444851531,0.10245770444400733,0.8477120320049486,0.33,0.5888560160024743
3,Arkansas,2021,female,25-29,0.591976777835755,0.0,0.101565051833197,0.099740061022675,0.295173444851531,0.10245770444400733,2.005521797983937,0.33,1.1677608989919686
4,California,2021,female,25-29,0.311543650692158,0.121722789135364,0.0755470113762228,0.130015519045524,0.295173444851531,0.10245770444400733,1.0554596157823783,1.1880296342368764,1.1217446250096272
5,Colorado,2021,female,25-29,0.259852967063658,0.124148250650802,0.0516067340988424,0.131985827432137,0.295173444851531,0.10245770444400733,0.8803399208027036,1.2117024417490092,1.0460211812758564
6,Connecticut,2021,female,25-29,0.424600951452929,0.180599071794049,0.0885368457362812,0.169883404217734,0.295173444851531,0.10245770444400733,1.438479507079299,1.7626695110346295,1.6005745090569643
7,Delaware,2021,female,25-29,0.583000801436158,0.0593576850189491,0.0760660409670343,0.189413791839259,0.295173444851531,0.10245770444400733,1.975112638365558,0.5793384239970729,1.2772255311813154
8,District of Columbia,2021,female,25-29,0.464143813489741,0.0588571093749594,0.0548082404427464,0.165887124746459,0.295173444851531,0.10245770444400733,1.572444342759899,0.5744527431524151,1.073448542956157
9,Florida,2019,female,25-29,0.403516291732638,0.222700073744115,0.0693233457150038,0.127705286175811,0.295173444851531,0.10245770444400733,1.3670480823083602,2.1735805516296685,1.7703143169690143
10,Georgia,2021,female,25-29,0.565363017060809,0.0746000451022253,0.0626219280986072,0.136250752956574,0.295173444851531,0.10245770444400733,1.9153586710524735,0.7281057633200624,1.321732217186268
11,Hawaii,2021,female,25-29,0.216753938249902,0.273064182935251,0.0809111164646218,0.073818855255815,0.295173444851531,0.10245770444400733,0.7343273659286215,2.665140551577352,1.6997339587529867
12,Idaho,2021,female,25-29,0.162843215132913,0.217578817788445,0.083415578452546,0.0804309493296853,0.295173444851531,0.10245770444400733,0.5516865354023338,2.1235964534746223,1.337641494438478
13,Illinois,2021,female,25-29,0.373261037978085,0.236375943794595,0.0418020852579376,0.131012580287884,0.295173444851531,0.10245770444400733,1.2645481647775978,2.3070587524608595,1.7858034586192286
14,Indiana,2021,female,25-29,0.423413423788236,0.0325577921658073,0.120485466898663,0.108504193724913,0.295173444851531,0.10245770444400733,1.4344563549787084,0.33,0.8822281774893542
15,Iowa,2021,female,25-29,0.185714188299631,0.371875462173852,0.0901162762532562,0.0860488778024523,0.295173444851531,0.10245770444400733,0.6291697018783081,3.6295509858614903,2.1293603438698994
16,Kansas,2021,female,25-29,0.285839941582723,0.0216521418759697,0.0587350217379986,0.128913412992287,0.295173444851531,0.10245770444400733,0.9683795970416558,0.33,0.6491897985208279
17,Kentucky,2021,female,25-29,0.231409951512774,0.0,0.120539194432245,0.108749189558357,0.295173444851531,0.10245770444400733,0.7839795738711206,0.33,0.5569897869355603
18,Louisiana,2021,female,25-29,0.419422025619653,0.179524595860125,0.0864752632368451,0.157889716528627,0.295173444851531,0.10245770444400733,1.4209341420621955,1.752182491637165,1.5865583168496804
19,Maine,2021,female,25-29,0.371322210704625,0.0,0.0726604498282908,0.125986929930509,0.295173444851531,0.10245770444400733,1.2579797308372234,0.33,0.7939898654186117
20,Maryland,2021,female,25-29,0.220419738285604,0.0702938110004771,0.101284641744958,0.147828721998034,0.295173444851531,0.10245770444400733,0.7467465049116213,0.686076380316449,0.7164114426140351
21,Massachusetts,2021,female,25-29,0.0993919693260737,0.187829956867181,0.0503042417096614,0.10759530586792,0.295173444851531,0.10245770444400733,0.33672395352524603,1.833243853026487,1.0849839032758666
22,Michigan,2021,female,25-29,0.396541578539399,0.0642568206152983,0.101441321126774,0.167182075635334,0.295173444851531,0.10245770444400733,1.343418879495935,0.627154599685711,0.9852867395908229
23,Minnesota,2021,female,25-29,0.306436326035931,0.123749597405944,0.0414879545216777,0.0860752419789332,0.295173444851531,0.10245770444400733,1.038156823999073,1.2078115362576036,1.1229841801283382
24,Mississippi,2021,female,25-29,0.508630912066839,0.0078133013302702,0.127591570989499,0.0941472698521319,0.295173444851531,0.10245770444400733,1.723159454003983,0.33,1.0265797270019914
25,Missouri,2021,female,25-29,0.412099769093513,0.0236585021682754,0.062153512912777,0.118228710729966,0.295173444851531,0.10245770444400733,1.3961275185198134,0.33,0.8630637592599067
26,Montana,2021,female,25-29,0.11083524572402,0.016562005948438,0.0937035292744908,0.0484126733247722,0.295173444851531,0.10245770444400733,0.37549192739803844,0.33,0.3527459636990192
27,Nebraska,2021,female,25-29,0.343887729783905,0.035135343597651,0.05907492501409,0.0949843814284226,0.295173444851531,0.10245770444400733,1.1650361364887576,0.34292534454402407,0.7539807405163909
28,Nevada,2021,female,25-29,0.0,0.146538627566736,0.0566211721485122,0.204587194997515,0.295173444851531,0.10245770444400733,0.33,1.4302353186803896,0.8801176593401948
29,New Hampshire,2021,female,25-29,0.168779745915753,0.136917345965673,0.0450935589978741,0.131559268871138,0.295173444851531,0.10245770444400733,0.5717985437363695,1.3363304078367062,0.9540644757865379
30,New Jersey,2021,female,25-29,0.142986930633029,0.15722019866733,0.04835556343294,0.151444694053847,0.295173444851531,0.10245770444400733,0.4844166476593104,1.5344887875489162,1.0094527176041133
31,New Mexico,2021,female,25-29,0.161713242995266,0.0369561885780323,0.0834851868387258,0.119372114478074,0.295173444851531,0.10245770444400733,0.5478583721398311,0.3606970191122005,0.45427769562601583
32,New York,2021,female,25-29,0.25468354953162,0.0533412018711103,0.0633151617559267,0.135162648561309,0.295173444851531,0.10245770444400733,0.8628267683758714,0.5206167965656602,0.6917217824707658
33,North Carolina,2021,female,25-29,0.386603742223778,0.0,0.0880043670435123,0.100814796259818,0.295173444851531,0.10245770444400733,1.3097510936942023,0.33,0.8198755468471012
34,North Dakota,2021,female,25-29,0.592891214796477,0.128359796922428,0.0505868814880757,0.112266179707873,0.295173444851531,0.10245770444400733,2.0086197628472124,1.2528076596970414,1.630713711272127
35,Ohio,2021,female,25-29,0.115900214223609,0.16142235953023,0.0729184104985276,0.111387546929262,0.295173444851531,0.10245770444400733,0.39265122335752634,1.5755024027348434,0.9840768130461849
36,Oklahoma,2021,female,25-29,0.331373653264143,0.258437766135421,0.0989529964495763,0.0890676312356945,0.295173444851531,0.10245770444400733,1.1226404645947072,2.5223848956781585,1.8225126801364329
37,Oregon,2021,female,25-29,0.0935286805997549,0.0,0.06952974125509,0.075341599465481,0.295173444851531,0.10245770444400733,0.33,0.33,0.33
38,Pennsylvania,2021,female,25-29,0.291631133104712,0.0240076775513086,0.0836076149616498,0.0803311207575817,0.295173444851531,0.10245770444400733,0.9879992194128413,0.33,0.6589996097064207
39,Rhode Island,2021,female,25-29,0.234495145614578,0.127462749409171,0.0773525037271342,0.122964706432212,0.295173444851531,0.10245770444400733,0.7944317136405222,1.2440523638593601,1.0192420387499412
40,South Carolina,2021,female,25-29,0.26631015818634,0.0203076841765063,0.0890255403608111,0.0605412474003675,0.295173444851531,0.10245770444400733,0.9022158423508967,0.33,0.6161079211754483
41,South Dakota,2021,female,25-29,0.264725916534719,0.0,0.0960494239589003,0.0820651787674822,0.295173444851531,0.10245770444400733,0.8968486872790105,0.33,0.6134243436395053
42,Tennessee,2021,female,25-29,0.556973243000947,0.100957028695748,0.0839230251337673,0.137754619622831,0.295173444851531,0.10245770444400733,1.8869354703675947,0.9853532171504054,1.436144343759
43,Texas,2021,female,25-29,0.309964167722323,0.18221056995307,0.0383144423795285,0.177031211840876,0.295173444851531,0.10245770444400733,1.0501085823564906,1.7783979344632619,1.4142532584098761
44,Utah,2021,female,25-29,0.148616413860153,0.0030377177244502,0.0642153631517732,0.14302904158688,0.295173444851531,0.10245770444400733,0.5034884284218231,0.33,0.41674421421091157
45,Vermont,2021,female,25-29,0.381048490621761,0.480609062024661,0.117325934054033,0.103673806509775,0.295173444851531,0.10245770444400733,1.2909307976990416,4.6908045093603645,2.990867653529703
46,Virginia,2021,female,25-29,0.443165489477314,0.0081290424971548,0.088408435098107,0.164872426641242,0.295173444851531,0.10245770444400733,1.501373166208164,0.33,0.915686583104082
47,Washington,2021,female,25-29,0.216459742641907,0.0,0.0765216353102095,0.0973042628310432,0.295173444851531,0.10245770444400733,0.7333306786821012,0.33,0.5316653393410506
48,West Virginia,2021,female,25-29,0.377346181280528,0.120394436255771,0.115304610523419,0.116724329791227,0.295173444851531,0.10245770444400733,1.278387971080288,1.1750647441214732,1.2267263576008807
49,Wisconsin,2021,female,25-29,0.0477751693249229,0.28250449749859,0.0856689081323054,0.0953930621648297,0.295173444851531,0.10245770444400733,0.33,2.7572792015165386,1.5436396007582693
50,Wyoming,2021,female,25-29,0.0475671657719437,0.0120621233534634,0.0747623763459641,0.0693706851764998,0.295173444851531,0.10245770444400733,0.33,0.33,0.33
51,Alabama,2021,female,30-34,0.473624385276066,0.178988239160868,0.158214497039538,0.114439847193255,0.4348841349731893,0.14982053589871847,1.0890817741724816,1.1946842806774332,1.1418830274249574
52,Alaska,2021,female,30-34,0.265574917746153,0.115861460992731,0.0788455526074624,0.121845734241933,0.4348841349731893,0.14982053589871847,0.610679710729217,0.773334979064923,0.69200734489707
53,Arizona,2021,female,30-34,0.346080816654404,0.0754164101716071,0.0923419437105026,0.19635862086436,0.4348841349731893,0.14982053589871847,0.7958000506864661,0.5033783234001381,0.6495891870433022
54,Arkansas,2021,female,30-34,0.619576267438624,0.197726547325222,0.175380181755177,0.124765293829256,0.4348841349731893,0.14982053589871847,1.4246927344839126,1.319755974300405,1.3722243543921588
55,California,2021,female,30-34,0.496690809512029,0.202791711376917,0.0929262831509525,0.16971619305105,0.4348841349731893,0.14982053589871847,1.142122164430418,1.3535641837111574,1.2478431740707876
56,Colorado,2021,female,30-34,0.316502509142023,0.124200099973856,0.0597234130866949,0.147305717755211,0.4348841349731893,0.14982053589871847,0.7277858254395403,0.8289924957805359,0.7783891606100382
57,Connecticut,2021,female,30-34,0.521782148547575,0.176010740847388,0.107313255811103,0.168382166686048,0.4348841349731893,0.14982053589871847,1.1998187714521777,1.1748105144035434,1.1873146429278605
58,Delaware,2021,female,30-34,0.506360048127532,0.112073370326607,0.132618815469525,0.181899313626463,0.4348841349731893,0.14982053589871847,1.164356221361695,0.7480507905963621,0.9562035059790286
59,District of Columbia,2021,female,30-34,0.488964806158087,0.0835360335481609,0.0724564453818597,0.169175940122131,0.4348841349731893,0.14982053589871847,1.1243565051832296,0.5575739870843397,0.8409652461337846
60,Florida,2019,female,30-34,0.45361405886481,0.229218178173904,0.0897923957409989,0.145985051564178,0.4348841349731893,0.14982053589871847,1.0430687679438464,1.529951663828381,1.2865102158861137
61,Georgia,2021,female,30-34,0.616741897311938,0.1804319763957,0.136706996745417,0.196622001089356,0.4348841349731893,0.14982053589871847,1.4181752051036771,1.2043207248816374,1.3112479649926572
62,Hawaii,2021,female,30-34,0.409357160776023,0.298887578412747,0.0830256754449566,0.102656143562213,0.4348841349731893,0.14982053589871847,0.9413016660202148,1.994970693569009,1.468136179794612
63,Idaho,2021,female,30-34,0.358986252202017,0.130416435946057,0.10230303535884,0.120472237951977,0.4348841349731893,0.14982053589871847,0.8254756228901029,0.8704843776171045,0.8479800002536038
64,Illinois,2021,female,30-34,0.539537608249718,0.259126986778872,0.0822914324358778,0.139434008332783,0.4348841349731893,0.14982053589871847,1.240646794997432,1.7295825650633556,1.4851146800303938
65,Indiana,2021,female,30-34,0.481850595238703,0.133786940384252,0.125837385499318,0.142110811462072,0.4348841349731893,0.14982053589871847,1.1079976400344178,0.8929813231658345,1.0004894816001262
66,Iowa,2021,female,30-34,0.380772598447524,0.268110011275574,0.0977784124855412,0.1319192366926,0.4348841349731893,0.14982053589871847,0.8755725211061073,1.7895411311091656,1.3325568261076364
67,Kansas,2021,female,30-34,0.468784878563354,0.134900417171029,0.1046906095619,0.155555429250605,0.4348841349731893,0.14982053589871847,1.0779535072997195,0.9004133936767136,0.9891834504882165
68,Kentucky,2021,female,30-34,0.436057411613068,0.137974756732866,0.166538283951276,0.174561230722662,0.4348841349731893,0.14982053589871847,1.0026979062824424,0.9209335416216877,0.961815723952065
69,Louisiana,2021,female,30-34,0.507037700486674,0.217649969936915,0.158744492731265,0.174364705877782,0.4348841349731893,0.14982053589871847,1.165914457923219,1.4527378949174932,1.309326176420356
70,Maine,2021,female,30-34,0.467860192919436,0.0789163648027473,0.0957795917930021,0.131334124272671,0.4348841349731893,0.14982053589871847,1.0758272268273932,0.5267393039903172,0.8012832654088552
71,Maryland,2021,female,30-34,0.406111625042413,0.122565349840273,0.130675021888218,0.197045550689513,0.4348841349731893,0.14982053589871847,0.9338386765188614,0.8180811068726219,0.8759598916957416
72,Massachusetts,2021,female,30-34,0.300330542616525,0.211683061826017,0.0760912348823251,0.130039937505317,0.4348841349731893,0.14982053589871847,0.6905989859460853,1.4129108573548208,1.0517549216504531
73,Michigan,2021,female,30-34,0.486283431895112,0.173967071099071,0.135343277859471,0.169006023903413,0.4348841349731893,0.14982053589871847,1.1181907841386107,1.161169729206389,1.1396802566725
74,Minnesota,2021,female,30-34,0.443850915198394,0.114524730138525,0.0790356857407716,0.108956720133321,0.4348841349731893,0.14982053589871847,1.0206187798176576,0.7644127652563324,0.892515772536995
75,Mississippi,2021,female,30-34,0.641928032503352,0.156732655470296,0.174625850747885,0.165923821819976,0.4348841349731893,0.14982053589871847,1.4760897923832677,1.0461359955103235,1.2611128939467955
76,Missouri,2021,female,30-34,0.499961562547992,0.126333139683989,0.105597891722337,0.148944294321827,0.4348841349731893,0.14982053589871847,1.1496431401867875,0.8432297944081083,0.996436467297448
77,Montana,2021,female,30-34,0.321368200477993,0.0729597814055851,0.0921710186812013,0.0998654284287337,0.4348841349731893,0.14982053589871847,0.7389743028859985,0.48698118030299464,0.6129777415944966
78,Nebraska,2021,female,30-34,0.452814820077703,0.167084268491077,0.0849613291857202,0.121330937998638,0.4348841349731893,0.14982053589871847,1.0412309478836683,1.1152294142375057,1.078230181060587
79,Nevada,2021,female,30-34,0.241278203791303,0.11518839310138,0.107492776180724,0.223932061517185,0.4348841349731893,0.14982053589871847,0.5548103147202136,0.7688424848463334,0.6618263997832735
80,New Hampshire,2021,female,30-34,0.336462216540285,0.177789884425464,0.0878471934362205,0.122469764222346,0.4348841349731893,0.14982053589871847,0.7736824351180988,1.1866856793627634,0.980184057240431
81,New Jersey,2021,female,30-34,0.381376840635981,0.168825827132558,0.0740038613452754,0.185296789733222,0.4348841349731893,0.14982053589871847,0.876961953692546,1.1268537128093539,1.00190783325095
82,New Mexico,2021,female,30-34,0.378318463031888,0.122448983985301,0.112030672001607,0.144133655983655,0.4348841349731893,0.14982053589871847,0.8699293273947817,0.8173044052390711,0.8436168663169263
83,New York,2021,female,30-34,0.40960927632751,0.127843207480145,0.0717315461874947,0.152026841708818,0.4348841349731893,0.14982053589871847,0.941881396415536,0.8533089720528662,0.8975951842342011
84,North Carolina,2021,female,30-34,0.520495979760674,0.0511391535996876,0.118991073808873,0.139035698417737,0.4348841349731893,0.14982053589871847,1.196861273848867,0.34133607447685704,0.769098674162862
85,North Dakota,2021,female,30-34,0.550860129266929,0.184309440300222,0.0828049911603266,0.141580856991914,0.4348841349731893,0.14982053589871847,1.266682513724925,1.2302014486506623,1.2484419811877936
86,Ohio,2021,female,30-34,0.350548202186786,0.18548544532981,0.124093653117583,0.15001763661162,0.4348841349731893,0.14982053589871847,0.8060726386544255,1.238050873447694,1.0220617560510599
87,Oklahoma,2021,female,30-34,0.450994805443239,0.225430773151351,0.154850505882855,0.133232153601771,0.4348841349731893,0.14982053589871847,1.0370458914787566,1.5046720517923289,1.2708589716355427
88,Oregon,2021,female,30-34,0.303137316017873,0.0673445117837049,0.0928904340130433,0.112617994792955,0.4348841349731893,0.14982053589871847,0.6970530576760671,0.4495012074261373,0.5732771325511021
89,Pennsylvania,2021,female,30-34,0.441697208762162,0.100841556546959,0.0826768861774609,0.100982850374779,0.4348841349731893,0.14982053589871847,1.015666411444034,0.6730823377586223,0.8443743746013281
90,Rhode Island,2021,female,30-34,0.428624189946924,0.176722644987291,0.101967703807202,0.138347882109621,0.4348841349731893,0.14982053589871847,0.9856054877084646,1.179562227081866,1.0825838573951652
91,South Carolina,2021,female,30-34,0.472569365012957,0.10018768965272,0.149596567610545,0.133756533478172,0.4348841349731893,0.14982053589871847,1.0866557940590107,0.6687180035215519,0.8776868987902813
92,South Dakota,2021,female,30-34,0.420400171159367,0.0495276321874772,0.0769072745463881,0.108797164363212,0.4348841349731893,0.14982053589871847,0.966694660372664,0.3305797292098783,0.6486371947912712
93,Tennessee,2021,female,30-34,0.674770903610544,0.129025999382185,0.140017606788888,0.160622307174501,0.4348841349731893,0.14982053589871847,1.5516107609953254,0.8612036968644208,1.206407228929873
